metric,n,icc,lo,hi,bias,sd_diff,bias_lo,bias_hi,loa_lo,loa_hi,loa_se,prop_bias_slope,prop_bias_p,rmse,mae,pearson,grade,pre_lo,pre_hi,pre_basis,pre_hit
time,20,0.9964046621112651,0.9890051014818115,0.9986735340021666,-0.031887731722635995,0.060572782860818734,-0.06023666673844476,-0.0035387967068272325,-0.1506103861298407,0.08683492268456872,0.0234597379253389,-0.028726421735676345,0.10340928098567152,0.06710019639869548,0.05555793802301827,0.9974786288616265,높음,0.9,1.0,Boswell 2023 마커기반 대비 r=0.997,True
time_sit2stand,20,0.7831923582889296,0.4167342299435314,0.9173236454289654,-0.1960211104804145,0.29204021919916423,-0.33270014031965456,-0.05934208064117444,-0.7684199401107764,0.37637771914994744,0.11310669053811266,-0.17516822527164877,0.21151128247850595,0.3456116185870724,0.24629397044260667,0.8459593248897939,보통,0.8,0.95,국면 분할 오차 추가,False
time_stand2sit,20,0.7252617829923974,0.3844026056002245,0.8857401502419253,0.16733547337690774,0.30336915423687294,0.025354338730624593,0.3093166080231909,-0.4272680689273632,0.7619390156811787,0.11749436821124382,-0.0669262506433773,0.6984708013860763,0.33975338439160485,0.25040728249302324,0.7693835306927636,낮음,0.8,0.95,국면 분할 오차 추가,False
time_sd,20,0.6469109587300952,0.30829829844459133,0.8421657067579666,0.016785400165342884,0.06275012873346225,-0.012582564086621995,0.04615336441730776,-0.10620485215224312,0.1397756524829289,0.024303020355707083,0.31460623494892265,0.1392365347533457,0.06342278283056865,0.042893212546825335,0.6749477106054331,낮음,,,,
trunk_lean_max,20,0.1972146444161957,-0.09275715830645681,0.5513881864995084,-6.879389522394922,3.8492730039867915,-8.68090474250402,-5.077874302285823,-14.423964610209033,0.6651855654191898,1.490817023944664,0.50183551608961,0.0538971074890473,7.835946511245304,6.879389522394922,0.5447778417129077,낮음,0.5,0.8,Boswell 2023 요추 굴곡 r=0.583,False
trunk_lean_range_mean,20,0.06792959160817111,-0.04137494678172218,0.29222689980186717,-8.070834873155698,2.70278779940856,-9.335778500774897,-6.8058912455365,-13.368298959996476,-2.7733707863149206,1.0467852135441946,0.18511706958467908,0.5432300852660525,8.489887180872683,8.070834873155698,0.42195242341830785,낮음,0.5,0.8,동상,False
right_knee_range_mean,20,0.5048951907417782,0.10069753532063135,0.7681851182261729,-1.0393398158254321,4.549275329083207,-3.168466208607094,1.0897865769562296,-9.955919460828516,7.877239829177652,1.7619267586851526,-0.5132241188402724,0.047757552567877955,4.554265909186123,4.047752651114724,0.5479850890667138,낮음,0.75,0.9,Jo 2022 정면 스쿼트 무릎 ICC 0.90-0.91,False
left_knee_range_mean,20,0.11925670285108247,-0.08776108690054903,0.41615212547215863,-15.2487710377108,9.225094680685288,-19.56624824885928,-10.931293826562316,-33.32995661185396,2.8324145364323634,3.572863806548075,-1.0130328323489084,0.00038657880965810895,17.70232389927253,15.2487710377108,0.4509609495929803,낮음,0.75,0.9,동상,False
right_hip_range_mean,20,0.010226602340019226,-0.07342126875710307,0.1730683644475978,-13.474070925294404,7.571661768910306,-17.01771771368336,-9.930424136905447,-28.314527992358602,1.3663861417697944,2.9324919934105007,-0.0550460269710345,0.904496066279193,15.36275190665732,13.474070925294404,0.040816770383954204,낮음,0.5,0.75,Jo 2022 가려진 고관절 ICC 0.64. 최약,False
left_hip_range_mean,20,-0.023742841814224775,-0.10084775967509856,0.13303946481913287,-16.118770281952205,8.838919051622751,-20.255511735291147,-11.982028828613263,-33.443051623132796,1.2055110592283853,3.4232986285410374,0.27752533935113877,0.6017496744950377,18.27662225093653,16.118770281952205,-0.11092372923563808,낮음,0.5,0.75,동상,False
