metric,n,icc,lo,hi,bias,sd_diff,bias_lo,bias_hi,loa_lo,loa_hi,loa_se,prop_bias_slope,prop_bias_p,rmse,mae,pearson,grade,pre_lo,pre_hi,pre_basis,pre_hit
time,10,0.9858994218240082,0.7461152557027757,0.997348994306168,-0.0572426432257668,0.04657184157906021,-0.09055813172311927,-0.023927154728414328,-0.1485234527207248,0.03403816626919121,0.025508448177408292,-0.04105980099279427,0.2821747751878172,0.0723101859265415,0.06442243423935104,0.9949363880566582,높음,0.9,1.0,Boswell 2023 마커기반 대비 r=0.997,True
time_sit2stand,10,0.06340158062091496,-0.3262431992575572,0.5711115081301011,-0.2754324137115214,0.38942852979057957,-0.5540128018792152,0.003147974456172431,-1.0387123321010572,0.4878475046780145,0.213298790302373,-0.29338991661811464,0.6588300302896148,0.46081681431597277,0.3759436913151439,0.08770141235370771,낮음,0.8,0.95,국면 분할 오차 추가,False
time_stand2sit,10,0.37835538964864507,-0.1572598723493555,0.7829266194772967,0.24460541817525275,0.39255188131799207,-0.036209281077349637,0.5254201174278551,-0.5247962692080117,1.0140071055585171,0.21500952038895504,-0.6026548601802701,0.15744200415116472,0.44555481388304585,0.37078467766671924,0.48776446127553846,낮음,0.8,0.95,국면 분할 오차 추가,False
time_sd,10,0.5431763333015126,-0.02674711934625671,0.8588747652876069,0.03320340051816972,0.0775143497180559,-0.022247024864466808,0.08865382590080625,-0.11872472492921984,0.1851315259655593,0.04245635787092343,0.6763400994219695,0.046461366844241805,0.08068514594993158,0.05104232592681368,0.6632053407290367,낮음,,,,
trunk_lean_max,10,0.5771310880034208,-0.05687667550940997,0.9012577870399959,-3.65683070060453,1.3772054067369426,-4.64202409925394,-2.67163730195512,-6.3561532978089375,-0.9575081034001229,0.7543264675879007,0.13079095963431225,0.380818454606682,3.8832249525355524,3.65683070060453,0.9228867302381006,낮음,0.5,0.8,Boswell 2023 요추 굴곡 r=0.583,True
trunk_lean_range_mean,10,0.23011333554325744,-0.02563231959226291,0.678687423095226,-5.894495272112337,1.3916389669881697,-6.890013817765206,-4.898976726459468,-8.62210764740915,-3.1668828968155247,0.7622320541226076,0.032471968162924705,0.8760300596409355,6.040535375771804,5.894495272112337,0.8495841949298215,낮음,0.5,0.8,동상,False
right_knee_range_mean,10,0.584916501062666,-0.06788865550150704,0.8800755577020476,0.27786945739603935,4.282452921794406,-2.7856128147038404,3.3413517294959187,-8.115738269320996,8.671477184113076,2.345596066720703,-0.2759073558620234,0.4684044325472859,4.0721829723135565,3.657169141921051,0.5737276542536534,낮음,0.75,0.9,Jo 2022 정면 스쿼트 무릎 ICC 0.90-0.91,False
left_knee_range_mean,10,0.16697433569804096,-0.07299602773016502,0.5849104464720459,-8.977647005961888,3.9629630236551803,-11.812579973040007,-6.142714038883769,-16.74505453232604,-1.2102394795977345,2.170604242614821,0.6388000847134271,0.07227402012481152,9.733073209312096,8.977647005961888,0.6295818187599646,낮음,0.75,0.9,동상,False
right_hip_range_mean,10,0.18058442699360405,-0.0922480384471637,0.6056833204152264,-8.249465708569149,4.3499504155526605,-11.361232778964707,-5.137698638173591,-16.775368523052364,0.2764371059140647,2.3825659666271632,-0.405802760295373,0.32091896076342236,9.224074275115546,8.249465708569149,0.5224356306827268,낮음,0.5,0.75,Jo 2022 가려진 고관절 ICC 0.64. 최약,False
left_hip_range_mean,10,0.09366539759842703,-0.09363527887752049,0.46506135917000857,-8.612113472373066,4.9502476753033005,-12.15330733316651,-5.070919611579622,-18.314598915967537,1.090371971221403,2.7113623170011265,-0.2265271262767467,0.674162440807487,9.809330012961682,8.612113472373066,0.2917877137741953,낮음,0.5,0.75,동상,False
