metric,n,icc,lo,hi,bias,sd_diff,bias_lo,bias_hi,loa_lo,loa_hi,loa_se,prop_bias_slope,prop_bias_p,rmse,mae,pearson,grade,pre_lo,pre_hi,pre_basis,pre_hit
time,30,0.9868581619622311,0.972780609773256,0.993702122851766,-0.04004227506398118,0.287099673217376,-0.14724705490459453,0.06716250477663216,-0.6027576345700382,0.5226730844420758,0.09078888828569501,-0.035900306982969296,0.24453544719486012,0.28510009717367596,0.1561378695049316,0.9873036221816399,높음,0.9,1.0,Boswell 2023 마커기반 대비 r=0.997,True
time_sit2stand,30,0.9379320414988507,0.8742397818236076,0.9699295492609441,-0.08396665834594448,0.32307451204562065,-0.20460466377390796,0.03667134708201898,-0.717192701955361,0.549259385263472,0.10216513120116662,-0.04593195896026486,0.492075677637478,0.3285548691408838,0.22854833992464788,0.9407959973707637,높음,0.8,0.95,국면 분할 오차 추가,True
time_stand2sit,30,0.9414068651950611,0.8815871490165612,0.9715770322396284,0.05382230897341271,0.23920194132450895,-0.035497163841609905,0.14314178178843534,-0.41501349602262483,0.5226581139694503,0.07564229553194021,0.009513081909652443,0.8848543336559405,0.24126159533902103,0.17127172759234124,0.9423858035514127,높음,0.8,0.95,국면 분할 오차 추가,True
time_sd,30,0.43822136760756647,0.10379361211307088,0.6851170165855937,-0.01860238770696039,0.09353153797266277,-0.053527637966375934,0.01632286255245515,-0.20192420213337942,0.1647194267194586,0.029577269305214194,-0.31440461611129006,0.17912795013065488,0.0938221320944442,0.06040229275373433,0.45146471899287904,낮음,,,,
trunk_lean_max,30,0.8287235157981664,0.2992116431030601,0.9408689124495098,-4.507128783507067,4.654788774530555,-6.245255477229493,-2.7690020897846415,-13.630514781586955,4.616257214572821,1.4719734554500523,-0.25262372046939663,0.0013968848472801416,6.4233194784392476,4.8389684331413765,0.9293117849048588,보통,0.5,0.8,Boswell 2023 요추 굴곡 r=0.583,False
trunk_lean_range_mean,30,0.6640840120855427,-0.030718087110514502,0.8826359993053751,-5.504412962343968,4.4375070130305945,-7.161405312916699,-3.847420611771238,-14.201926707883933,3.1931007831959963,1.4032629294147163,-0.38463116138258224,0.00016304818647922638,7.023791587717621,6.06768472720539,0.8890199119681949,낮음,0.5,0.8,동상,True
right_knee_range_mean,30,0.7871854846108673,0.5991164862133644,0.8928205108233109,-1.3481094068312551,4.283549105092241,-2.9476129297773657,0.2513941161148556,-9.74386565281205,7.047646839149539,1.3545771641267448,-0.007598399700355321,0.9526415637630782,4.422054440792452,3.5686619511592372,0.7976713314713816,보통,0.75,0.9,Jo 2022 정면 스쿼트 무릎 ICC 0.90-0.91,True
left_knee_range_mean,30,0.5487674001262561,-0.07090588168120675,0.82302148700699,-13.00364740882696,10.439408771486507,-16.90178670822636,-9.10550810942756,-33.46488860094051,7.457593783286594,3.3012309143437606,-0.097487849614966,0.493157968210976,16.566333116132704,14.018199227669788,0.7566215294499496,낮음,0.75,0.9,동상,False
right_hip_range_mean,30,0.7217654772001615,-0.0044062965828856925,0.9084524352630616,-10.397484080486626,8.280049824982502,-13.489305497797925,-7.305662663175327,-26.626381737452327,5.831413576479077,2.6183816586623267,-0.28907786415454895,0.0018615337254670797,13.205362274647847,10.476192960620464,0.9018984923795187,낮음,0.5,0.75,Jo 2022 가려진 고관절 ICC 0.64. 최약,True
left_hip_range_mean,30,0.7125986754564291,-0.015828215093689188,0.9052995924273717,-12.856581455686184,10.08885544148679,-16.623821990402703,-9.089340920969665,-32.63073812100029,6.917575209627925,3.190376217928187,-0.1697810658170048,0.08903453544870464,16.238345278237894,14.054377688255114,0.8763445711486012,낮음,0.5,0.75,동상,True
alcazar_rel_power_Wkg,30,0.9980640402562192,0.9959722396345838,0.9990742650131322,0.012016155132925265,0.06679966737921154,-0.012927250599872195,0.036959560865722725,-0.11891119293032935,0.14294350319617988,0.02112390958599591,-0.00012762258350901553,0.9914261324429614,0.06676708540954927,0.04812915522335604,0.9980621620944672,높음,0.85,1.0,시간 지표에만 의존,True
alcazar_power_W,30,0.9992131581659169,0.9983619449995099,0.9996238633148711,0.8535215197565359,4.78262292899417,-0.9323392317298863,2.639382271242958,-8.520419421072038,10.227462460585109,1.5123981645367326,2.4917325450130667e-05,0.9973741109567155,4.7790722596472905,3.4859856728810295,0.9992119897759562,높음,,,,
